smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,weight,budget,height,rating
0,1,1,1,0,1,0,1989,1,3,0,0,69,1,1.77,2
0,1,1,1,1,1,0,1990,2,1,1,0,40,0,1.87,2
0,0,2,1,1,1,0,1989,0,0,1,0,60,0,1.69,2
0,1,1,1,1,1,0,1940,1,0,0,1,44,1,1.53,1
0,0,0,1,1,1,0,1992,0,3,1,0,65,1,1.69,1
1,0,0,2,2,1,0,1989,1,0,0,0,75,1,1.8,0
0,1,1,0,1,1,0,1989,1,3,1,0,60,0,1.59,1
0,0,2,0,1,1,1,1989,2,0,1,0,68,0,1.72,0
0,1,2,1,0,1,1,1991,1,3,1,0,75,1,1.78,1
0,0,0,2,2,0,1,1987,2,0,0,0,40,1,1.67,2
0,1,0,1,1,1,0,1989,1,0,1,0,68,1,1.78,1
0,1,2,1,1,1,0,1988,2,0,1,0,98,1,1.84,1
0,1,0,2,1,2,0,1982,3,3,0,1,80,1,1.75,1
0,1,0,2,1,1,0,1990,0,0,1,0,53,1,1.69,0
1,0,1,1,1,1,0,1989,2,3,1,0,87,1,1.67,1
0,1,1,2,0,1,0,1991,4,3,1,0,70,1,1.67,1
0,1,2,1,1,1,0,1991,3,3,0,1,79,1,1.79,0
1,1,2,2,1,1,0,1989,2,3,2,0,65,0,1.83,1
0,1,0,1,1,1,0,1989,1,3,1,0,59,1,1.6,2
0,1,0,2,1,1,0,1982,2,0,1,1,40,1,1.68,1
0,0,0,1,2,1,2,1984,0,0,1,0,108,1,1.62,1
0,1,2,1,2,1,0,1990,1,0,1,0,46,1,1.54,1
0,1,1,2,2,1,0,1988,0,0,1,0,103,0,1.79,2
0,1,0,0,0,0,0,1930,0,0,0,0,40,0,1.2,2
0,0,0,1,1,1,0,1990,0,3,1,0,65,1,1.79,2
0,1,2,1,1,1,0,1989,2,1,1,0,49,1,1.55,2
1,0,0,0,1,1,0,1989,3,3,1,0,60,0,1.65,2
0,1,0,1,1,1,0,1989,1,0,2,0,77,1,1.63,1
1,1,2,1,1,1,0,1990,1,2,1,0,58,0,1.6,2
0,1,2,1,0,1,0,1991,4,0,1,0,64,1,1.75,1
0,1,1,0,0,0,1,1992,0,0,1,2,40,1,1.6,1
0,1,2,1,1,1,0,1989,1,0,1,0,40,1,1.75,0
0,0,0,1,0,1,0,1991,0,0,0,0,54,0,1.6,0
0,1,1,1,1,1,0,1990,2,3,1,0,50,1,1.58,0
1,1,0,2,2,1,0,1985,1,1,0,0,69,1,1.75,1
0,0,1,1,1,1,0,1991,0,0,1,0,76,1,1.7,0
0,0,0,1,1,1,0,1990,1,3,1,0,52,0,1.5,0
1,0,0,1,1,1,0,1930,1,3,1,0,97,0,1.83,0
0,0,0,2,0,1,0,1989,0,0,0,0,83,1,1.73,0
0,1,0,2,1,1,0,1994,0,3,1,0,73,1,1.64,0
0,1,0,2,0,1,0,1985,4,1,1,1,40,1,1.62,0
0,1,0,1,2,1,0,1943,2,3,2,0,40,2,1.4,0
0,1,0,0,1,1,0,1989,2,0,0,0,60,1,1.64,0
1,0,1,1,2,0,1,1969,1,3,1,1,85,1,1.73,2
0,1,1,2,2,1,0,1991,2,3,0,0,68,2,1.6,2
0,0,0,2,2,1,0,1990,3,0,1,0,82,1,1.84,2
0,1,0,1,1,1,0,1992,3,3,3,0,60,1,1.63,1
1,1,0,0,1,1,0,1988,4,3,0,0,65,1,1.7,0
0,1,1,0,1,1,0,1991,0,0,0,0,55,0,1.6,1
0,0,0,1,2,1,0,1989,1,0,0,0,73,1,1.71,1
0,1,0,1,1,1,0,1979,1,3,0,1,74,1,1.76,2
1,0,0,1,0,1,0,1990,0,2,1,0,85,0,1.8,1
0,1,1,1,1,1,0,1990,1,3,1,0,66,0,1.72,1
0,0,2,1,1,1,0,1992,2,3,1,0,59,1,1.7,1
0,1,0,1,2,0,2,1952,0,0,1,1,70,1,1.66,1
0,0,1,1,0,1,0,1930,0,0,1,0,61,1,1.62,1
1,1,2,2,1,1,0,1989,2,1,1,0,69,1,1.83,2
0,1,2,1,1,1,0,1991,1,0,1,0,74,0,1.78,2
0,1,2,2,0,1,0,1987,2,3,1,0,57,1,1.69,2
0,1,2,1,1,1,0,1991,2,3,1,0,82,1,1.84,2
0,0,0,2,2,1,0,1990,0,0,1,1,40,1,1.76,0
0,1,1,2,2,1,0,1985,1,0,1,0,88,1,1.68,2
0,1,2,1,1,1,0,1988,4,2,1,0,80,1,1.78,1
0,1,2,0,1,1,0,1991,1,1,0,0,94,1,1.77,2
0,1,2,2,1,1,0,1989,2,2,1,0,55,1,1.72,2
0,1,1,0,1,1,0,1986,2,3,1,0,45,0,1.45,1
0,1,0,1,1,1,0,1987,2,3,2,0,92,1,1.73,2
0,1,1,2,1,1,0,1988,2,3,1,0,72,0,1.57,1
0,0,0,1,1,1,0,1983,1,3,1,1,60,1,1.56,1
0,1,1,2,1,1,0,1991,1,3,1,0,47,0,1.6,2
0,1,2,2,2,1,0,1930,0,1,0,0,40,2,1.73,1
0,1,0,1,1,1,0,1984,4,3,2,0,50,1,1.54,2
0,1,1,0,2,2,1,1989,0,0,0,2,118,1,1.79,1
1,1,0,1,2,1,1,1967,4,0,1,1,68,1,1.7,1
0,1,1,1,2,1,0,1991,2,3,1,0,68,1,1.6,1
0,0,2,1,1,0,1,1987,2,3,1,0,65,1,1.71,2
0,0,2,1,1,0,1,1987,2,3,1,0,65,1,1.71,2
1,0,1,0,2,1,0,1983,1,0,1,1,69,1,1.69,2
0,1,2,1,1,1,0,1992,2,3,1,0,53,1,1.55,2
1,0,2,2,2,1,0,1987,1,0,1,0,80,0,1.82,2
0,1,1,1,1,1,0,1991,1,0,1,0,52,0,1.54,2
1,1,1,2,1,1,0,1989,1,0,1,0,63,1,1.69,2
0,1,0,0,0,0,0,1981,0,0,0,0,40,0,1.6,2
1,1,2,1,1,1,0,1991,1,3,1,0,65,1,1.6,2
0,1,0,0,2,1,0,1988,2,3,1,0,84,0,1.7,2
0,0,0,1,2,1,0,1991,1,1,1,0,49,1,1.59,2
0,1,0,0,1,1,0,1989,1,3,1,0,53,1,1.55,2
0,0,1,1,0,1,0,1991,0,0,1,0,62,1,1.6,1
1,1,1,1,1,1,0,1990,1,2,1,0,54,0,1.6,2
0,0,0,2,2,1,0,1988,1,3,1,0,50,1,1.54,0
0,1,0,1,2,1,0,1989,4,3,0,0,40,0,1.7,1
0,1,2,0,1,1,2,1990,1,3,1,0,70,1,1.69,0
1,1,0,1,2,1,0,1990,1,3,1,0,80,1,1.67,0
0,1,1,2,1,1,0,1991,1,3,1,0,59,1,1.71,0
0,1,2,1,1,0,0,1986,1,3,1,0,65,1,1.65,0
0,1,2,1,1,1,0,1990,4,0,1,0,40,1,1.2,1
0,1,2,1,1,1,0,1990,1,0,1,0,58,1,1.64,1
0,0,2,1,1,1,0,1991,0,3,1,0,68,1,1.76,2
1,0,1,1,1,1,0,1989,2,2,1,0,70,2,2,2
0,1,2,2,1,1,0,1990,4,0,2,0,40,1,1.65,2
0,1,0,2,2,1,0,1988,4,1,1,0,50,0,1.69,2
0,0,0,2,0,1,0,1989,4,2,0,0,90,0,1.78,1
0,1,2,2,1,1,0,1989,2,0,3,1,120,1,1.9,2
1,0,0,1,2,1,0,1991,2,1,1,0,75,1,1.71,2
0,0,2,1,1,1,0,1991,1,0,2,0,40,1,1.74,0
0,1,1,2,2,1,0,1930,2,0,1,1,65,1,1.71,1
0,1,0,2,2,1,0,1989,1,0,1,0,87,2,1.79,2
0,1,1,0,1,1,0,1983,2,3,1,0,76,1,1.81,2
0,1,2,0,1,1,0,1989,4,3,1,0,57,0,1.72,1
0,1,0,1,2,1,0,1993,1,3,1,0,85,1,1.75,2
1,1,2,2,2,1,0,1991,0,0,1,0,69,1,1.69,2
1,1,2,2,2,1,0,1991,0,0,1,0,69,1,1.69,2
0,1,2,1,1,1,0,1990,0,3,1,0,75,1,1.73,2
0,1,0,1,0,1,0,1991,1,0,1,0,58,1,1.68,1
1,0,2,2,1,1,0,1990,1,0,1,0,76,0,1.76,2
0,0,2,1,1,0,1,1987,2,3,1,0,40,1,1.71,1
0,1,0,2,1,1,0,1982,2,3,1,1,58,1,1.6,0
1,1,1,2,1,1,0,1987,2,3,0,0,60,1,1.68,2
0,1,2,1,1,1,0,1992,4,3,1,0,68,1,1.68,2
0,1,1,2,1,1,0,1930,1,0,0,0,47,0,1.57,1
0,0,0,1,1,0,0,1987,1,3,1,1,90,1,1.6,1
0,1,0,0,0,0,0,1930,0,0,0,0,40,0,1.2,1
0,1,1,1,0,1,0,1987,2,0,1,0,110,1,1.75,0
0,1,1,2,1,1,0,1991,0,0,1,0,51,0,1.2,1
0,1,2,2,1,1,0,1990,2,0,1,0,57,0,1.67,2
0,1,2,2,0,1,0,1990,2,0,1,0,65,0,1.63,0
0,1,0,0,1,1,0,1992,1,0,1,0,65,0,1.76,1
0,1,0,2,1,1,0,1986,1,3,1,0,66,0,1.72,0
0,1,0,2,1,1,0,1989,1,3,0,0,69,0,1.69,0
0,1,0,0,0,0,0,1989,0,0,0,0,40,0,1.2,2
1,0,0,2,2,0,1,1990,4,0,0,0,90,1,1.8,0
0,1,1,0,1,1,0,1991,0,0,0,0,55,0,1.6,2
0,1,0,1,2,1,0,1991,0,0,0,0,60,1,1.57,1
0,1,0,1,1,1,0,1991,1,0,1,0,52,1,1.65,2
0,1,1,1,0,1,1,1988,1,1,1,0,66,0,1.54,1
1,0,0,2,2,1,0,1990,3,3,1,0,50,0,1.6,2
0,0,2,1,1,1,0,1989,4,0,1,0,72,0,1.78,2
0,0,2,2,1,1,0,1991,1,3,0,0,54,1,1.55,2